INSTNM,NPT4_PUB,Year,STABBR,CITY
CUNY John Jay College Criminal Justice,,2006,NY,New York
Fashion Institute of Technology,,2006,NY,New York
French Culinary Institute,,2006,NY,New York
Gemological Institute of America-New York,,2006,NY,New York
The General Theological Seminary,,2006,NY,New York
Global Business Institute,,2006,NY,New York
Helene Fuld College of Nursing,,2006,NY,New York
Institute of Audio Research,,2006,NY,New York
Interboro Institute,,2006,NY,New York
Jewish Theological Seminary of America,,2006,NY,New York
The Juilliard School,,2006,NY,New York
Katharine Gibbs School-New York City,,2006,NY,New York
Laboratory Institute of Merchandising,,2006,NY,New York
Mandl The College of Allied Health,,2006,NY,New York
Manhattan School of Music,,2006,NY,New York
Marymount Manhattan College,,2006,NY,New York
Memorial Hospital School of Radiation Therapy Technology,,2006,NY,New York
Merce Cunningham Studio,,2006,NY,New York
Mesivtha Tifereth Jerusalem of America,,2006,NY,New York
Mount Sinai School of Medicine,,2006,NY,New York
Neighborhood Playhouse School of the Theater,,2006,NY,New York
Globe Institute of Technology,,2007,NY,New York
The Ailey School,,2007,NY,New York
American Academy of Dramatic Arts,,2007,NY,New York
American Academy McAllister Institute of Funeral Service,,2007,NY,New York
Joffrey Ballet School-American Ballet Center,,2007,NY,New York
American Musical and Dramatic Academy,,2007,NY,New York
Apex Technical School,,2007,NY,New York
Bank Street College of Education,,2007,NY,New York
Barnard College,,2007,NY,New York
Berkeley College,,2007,NY,New York
Phillips Beth Israel School of Nursing,,2007,NY,New York
Boricua College,,2007,NY,New York
Circle in the Square Theater School,,2007,NY,New York
Metropolitan College of New York,,2007,NY,New York
Columbia University in the City of New York,,2007,NY,New York
Cooper Union for the Advancement of Science and Art,,2007,NY,New York
Weill Cornell Medical College,,2007,NY,New York
CUNY Bernard M Baruch College,,2007,NY,New York
CUNY Borough of Manhattan Community College,,2007,NY,New York
CUNY City College,,2007,NY,New York
CUNY Graduate School and University Center,,2007,NY,New York
CUNY Hunter College,,2007,NY,New York
CUNY John Jay College Criminal Justice,,2007,NY,New York
Fashion Institute of Technology,,2007,NY,New York
French Culinary Institute,,2007,NY,New York
Gemological Institute of America-New York,,2007,NY,New York
The General Theological Seminary,,2007,NY,New York
Global Business Institute,,2007,NY,New York
Helene Fuld College of Nursing,,2007,NY,New York
Institute of Audio Research,,2007,NY,New York
Jewish Theological Seminary of America,,2007,NY,New York
The Juilliard School,,2007,NY,New York
Katharine Gibbs School-New York City,,2007,NY,New York
Laboratory Institute of Merchandising,,2007,NY,New York
Mandl The College of Allied Health,,2007,NY,New York
Manhattan School of Music,,2007,NY,New York
