INSTNM,CITY,STABBR,UGDS,PCTPELL
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,2159,0.8613
Inter American University of Puerto Rico-Bayamon,Bayamon,PR,5083,0.8609
Charter College-Anchorage,Anchorage,AK,1651,0.8605
Vista College,El Paso,TX,2220,0.8605
EDP College of Puerto Rico Inc-San Sebastian,San Sebastian,PR,1011,0.8598
University of Puerto Rico-Ponce,Ponce,PR,3089,0.8597
EDP University of Puerto Rico Inc-San Juan,San Juan,PR,1135,0.8595
Everest University-South Orlando,Orlando,FL,29460,0.859
Universidad Metropolitana,Cupey,PR,9796,0.8589
Bainbridge College,Bainbridge,GA,2848,0.8586
Brown Mackie College-Fort Wayne,Fort Wayne,IN,1083,0.858
Universidad Del Este,Carolina,PR,12287,0.858
University of Puerto Rico-Arecibo,Arecibo,PR,3693,0.8574
Spartan College of Aeronautics and Technology,Tulsa,OK,1194,0.8571
George C Wallace State Community College-Selma,Selma,AL,1670,0.8568
Heald College-Stockton,Stockton,CA,1409,0.8564
Inter American University of Puerto Rico-Guayama,Guayama,PR,2153,0.8559
All State Career-Baltimore,Baltimore,MD,2042,0.8555
Centro de Estudios Multidisciplinarios-San Juan,San Juan,PR,1367,0.8554
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,4275,0.8554
Kaplan Career Institute-San Antonio Campus,San Antonio,TX,1094,0.855
Colegio Universitario de San Juan,San Juan,PR,1355,0.8546
Career Point College,San Antonio,TX,1844,0.854
Virginia College-Birmingham,Birmingham,AL,4497,0.8538
American University of Puerto Rico,Bayamon,PR,1199,0.8537
ASA College,Brooklyn,NY,4688,0.8535
Technical Career Institutes,New York,NY,3019,0.8532
American Career College-Ontario,Ontario,CA,1416,0.8531
Bayamon Central University,Bayamón,PR,2061,0.853
Bladen Community College,Dublin,NC,1575,0.8526
Southwestern College,Dayton,OH,1051,0.8525
Southeast Technical Institute,Sioux Falls,SD,2093,0.8523
Berea College,Berea,KY,1552,0.8523
Universidad Del Turabo,Gurabo,PR,13014,0.8516
Liceo de Arte y Tecnologia,San Juan,PR,1316,0.8516
Sanford-Brown Institute,New York,NY,2165,0.8512
Atlanta Christian College,East Point,GA,1019,0.8507
Atlantic College,Guaynabo,PR,1110,0.8504
Harrison College-Indianapolis,Indianapolis,IN,2422,0.8502
Navajo Technical College,Crownpoint,NM,1583,0.85
Florida National University-Main Campus,Hialeah,FL,1803,0.85
ATI College of Health,Miami,FL,1193,0.8499
Florida National University-Main Campus,Hialeah,FL,1910,0.8499
Technical Career Institutes,New York,NY,3601,0.8494
Heald College-Modesto,Salida,CA,1091,0.8493
Heald College-Stockton,Stockton,CA,1654,0.8488
Mississippi Valley State University,Itta Bena,MS,2469,0.8481
Denmark Technical College,Denmark,SC,1012,0.848
Liceo de Arte y Tecnologia,Hato Rey,PR,1084,0.848
National College-Lexington,Lexington,KY,2403,0.8474
Everest College Phoenix,Phoenix,AZ,1578,0.8474
Everest College-Dallas,Dallas,TX,1047,0.8474
Thompson Institute,Philadelphia,PA,1106,0.8472
Inter American University of Puerto Rico-Bayamon,Bayamon,PR,5013,0.847
Wright Career College,Overland Park,KS,1712,0.8469
ATI Career Training Center-Oakland Park,Oakland Park,FL,1663,0.8468
