INSTNM,SATVR75,SATWR75,SATMT75,mn_earn_wne_p10,CITY
Swarthmore College,760,770,770,,Swarthmore
Brown University,760,770,770,,Providence
Amherst College,760,770,770,,Amherst
Swarthmore College,760,770,770,,Swarthmore
Brown University,760,780,770,,Providence
University of Pennsylvania,750,,770,,Philadelphia
Washington University in St Louis,750,,770,,Saint Louis
DUKE UNIVERSITY,750,,770,,DURHAM
University of Notre Dame,750,,770,88000,Notre Dame
University of Notre Dame,750,,770,,Notre Dame
University of Notre Dame,750,,770,,Notre Dame
University of Pennsylvania,750,750,770,114700,Philadelphia
Northwestern University,750,750,770,,Evanston
Vanderbilt University,750,750,770,75700,Nashville
Carleton College,750,750,770,,Northfield
Tufts University,750,770,770,,Medford
University of Notre Dame,740,,770,,Notre Dame
Johns Hopkins University,740,730,770,,Baltimore
Webb Institute,740,730,770,PrivacySuppressed,Glen Cove
Johns Hopkins University,740,750,770,,Baltimore
Johns Hopkins University,740,750,770,,Baltimore
CORNELL UNIVERSITY-ENDOWED COLLEGES,730,,770,,ITHACA
Cornell University,730,,770,89200,Ithaca
Cornell University,730,,770,,Ithaca
Cornell University,730,,770,93800,Ithaca
CORNELL UNIVERSITY-ENDOWED COLLEGES,730,,770,,ITHACA
Grinnell College,730,,770,,Grinnell
Cornell University,730,720,770,93200,Ithaca
Cornell University,730,730,770,,Ithaca
Johns Hopkins University,730,730,770,78500,Baltimore
Johns Hopkins University,730,740,770,,Baltimore
Johns Hopkins University,730,750,770,84700,Baltimore
University of Pennsylvania,720,740,770,,Philadelphia
University of Southern California,720,740,770,77100,Los Angeles
University of California-Berkeley,720,740,770,,Berkeley
University of California-Berkeley,720,750,770,,Berkeley
CARNEGIE MELLON UNIVERSITY,710,,770,,PITTSBURGH
CARNEGIE MELLON UNIVERSITY,710,,770,,PITTSBURGH
Cooper Union for the Advancement of Science and Art,710,700,770,61800,New York
Cooper Union for the Advancement of Science and Art,700,,770,67900,New York
CARNEGIE MELLON UNIVERSITY,700,,770,,PITTSBURGH
Cooper Union for the Advancement of Science and Art,700,,770,,New York
Webb Institute,700,690,770,,Glen Cove
RICE UNIVERSITY,670,,770,,HOUSTON
University of Illinois at Urbana-Champaign,660,,770,66400,Champaign
Michigan Technological University,660,,770,,Houghton
University of Illinois at Urbana-Champaign,660,670,770,,Champaign
Williams College,770,,768,72400,Williamstown
Rensselaer Polytechnic Institute,720,,768,,Troy
Webb Institute,745,705,765,,Glen Cove
Swarthmore College,780,760,760,74300,Swarthmore
Swarthmore College,770,,760,,Swarthmore
SWARTHMORE COLLEGE,770,,760,,SWARTHMORE
Pomona College,770,,760,,Claremont
University of Chicago,770,,760,,Chicago
Williams College,770,,760,,Williamstown
University of Chicago,770,,760,,Chicago
SWARTHMORE COLLEGE,770,,760,,SWARTHMORE
POMONA COLLEGE,770,,760,,CLAREMONT
